OHSU1	Q0	90350732	0	23.272179	tf
OHSU1	Q0	244338	1	23.262047	tf
OHSU1	Q0	90102641	2	21.952766	tf
OHSU1	Q0	253188	3	21.761923	tf
OHSU1	Q0	89015551	4	21.628147	tf
OHSU1	Q0	181007	5	21.626665	tf
OHSU1	Q0	335079	6	21.375917	tf
OHSU1	Q0	91336317	7	21.375917	tf
OHSU1	Q0	165384	8	20.854261	tf
OHSU1	Q0	89184080	9	20.74318	tf
OHSU1	Q0	88151444	10	20.302052	tf
OHSU1	Q0	253184	11	20.299994	tf
OHSU1	Q0	66375	12	20.299994	tf
OHSU1	Q0	90102637	13	20.299994	tf
OHSU1	Q0	111681	14	19.129173	tf
OHSU1	Q0	143821	15	19.129173	tf
OHSU1	Q0	89296665	16	19.129173	tf
OHSU1	Q0	90102636	17	19.129173	tf
OHSU1	Q0	213098	18	19.126682	tf
OHSU1	Q0	256564	19	19.126682	tf
OHSU1	Q0	145691	20	19.126682	tf
OHSU1	Q0	148690	21	19.126682	tf
OHSU1	Q0	88201371	22	19.126682	tf
OHSU1	Q0	89244872	23	19.126682	tf
OHSU1	Q0	89371439	24	19.126682	tf
OHSU1	Q0	90191472	25	19.126682	tf
OHSU1	Q0	276805	26	18.266611	tf
OHSU1	Q0	91016084	27	18.266611	tf
OHSU1	Q0	236218	28	18.118496	tf
OHSU1	Q0	276505	29	18.118496	tf
OHSU1	Q0	109633	30	18.084415	tf
OHSU1	Q0	88151451	31	18.084415	tf
OHSU1	Q0	213099	32	18.08159	tf
OHSU1	Q0	250822	33	18.08159	tf
OHSU1	Q0	143822	34	18.08159	tf
OHSU1	Q0	89244873	35	18.08159	tf
OHSU1	Q0	90102644	36	18.08159	tf
OHSU1	Q0	90040495	37	18.08159	tf
OHSU1	Q0	90286778	38	18.026686	tf
OHSU1	Q0	91014400	39	18.026686	tf
OHSU1	Q0	58675	40	17.908827	tf
OHSU1	Q0	88034125	41	17.81801	tf
OHSU1	Q0	275992	42	17.291626	tf
OHSU1	Q0	91011875	43	17.251833	tf
OHSU1	Q0	158051	44	17.147865	tf
OHSU1	Q0	337149	45	17.147865	tf
OHSU1	Q0	89104563	46	17.147865	tf
OHSU1	Q0	90151018	47	17.147865	tf
OHSU1	Q0	91051706	48	17.147865	tf
OHSU1	Q0	91350261	49	17.147865	tf
OHSU2	Q0	145433	0	26.277658	tf
OHSU2	Q0	89290673	1	26.277658	tf
OHSU2	Q0	289050	2	25.015331	tf
OHSU2	Q0	140188	3	25.015331	tf
OHSU2	Q0	88239909	4	25.015331	tf
OHSU2	Q0	89164433	5	25.015331	tf
OHSU2	Q0	217788	6	24.759563	tf
OHSU2	Q0	95259	7	24.759563	tf
